timestamp,interval_number,trial_number,is_dynamic_obstacle_present,degree,level,feedback_modality,right_index_button,left_index_button,right_thumbstick_x,right_thumbstick_y,number_of_collision,head_position,head_rotation,collision_position
0.001,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,14.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.11555,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,16.26)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.20444,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,17.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.27847,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,18.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.3474,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,19.86)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.41887,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,20.76)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.48698,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,21.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.55892,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,22.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.6292,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,24.06)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.69774,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,24.96)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.77244,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,26.16)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.84784,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,27.06)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.92499,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,28.26)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
0.9913,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,29.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.08561,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,30.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.15626,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,31.86)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.2365,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,33.06)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.31207,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,33.96)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.38691,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,35.16)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.45699,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,36.36)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.53758,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,37.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.60222,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,38.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.66974,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,39.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.73919,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,40.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.80605,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,41.46)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.87035,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,42.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
1.94556,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,43.56)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.01418,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,44.76)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.09006,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,45.66)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.15834,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,46.86)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.23021,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,47.76)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.30729,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,48.96)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
2.3709,0,0,False,0.0,0,-,0.0,0.0,0.0,0.0,0,"(0.00,0.76,50.16)","(0.00,0.00,0.00)","(0.00,0.00,0.00)"
